Cohort,Strain,Diet,MouseID,DOB,MortalityDate,UnnaturalCauseOfDeath,Lifespan,DontUseThisAnimal
1,003,AL,003M11,29-Mar-05,23/5/06,FALSE,420,FALSE
1,003,AL,003M07,29-Mar-05,21/3/07,FALSE,722,FALSE
1,003,AL,003M19,29-Mar-05,2/8/07,FALSE,856,FALSE
1,003,AL,003M13,29-Mar-05,22/9/07,FALSE,907,FALSE
1,003,AL,003M05,29-Mar-05,2/11/07,FALSE,948,FALSE
1,003,AL,003M09,29-Mar-05,3/12/07,FALSE,979,FALSE
1,003,AL,003M15,29-Mar-05,17/12/07,FALSE,993,FALSE
1,003,AL,003M17,29-Mar-05,27/12/07,FALSE,1003,FALSE
1,003,AL,003M03,29-Mar-05,28/2/08,FALSE,1066,FALSE
1,003,AL,003M01,29-Mar-05,10/7/08,FALSE,1199,FALSE
1,003,DR,003M12,29-Mar-05,18/8/06,FALSE,507,FALSE
1,003,DR,003M10,29-Mar-05,20/12/06,FALSE,631,FALSE
1,003,DR,003M20,29-Mar-05,18/10/07,FALSE,933,FALSE
1,003,DR,003M22,29-Mar-05,2/12/07,FALSE,978,FALSE
1,003,DR,003M06,29-Mar-05,29/12/07,FALSE,1005,FALSE
1,003,DR,003M18,29-Mar-05,7/1/08,FALSE,1014,FALSE
1,003,DR,003M24,29-Mar-05,10/1/08,FALSE,1017,FALSE
1,003,DR,003M16,29-Mar-05,22/1/08,FALSE,1029,FALSE
1,003,DR,003M08,29-Mar-05,12/4/08,FALSE,1110,FALSE
1,003,DR,003M04,29-Mar-05,30/4/08,FALSE,1128,FALSE
1,003,DR,003M02,29-Mar-05,15/5/08,FALSE,1143,FALSE
1,003,DR,003M14,29-Mar-05,22/5/08,FALSE,1150,FALSE
1,005,AL,005M09,30-Mar-05,4/11/05,FALSE,219,FALSE
1,005,AL,005M17,30-Mar-05,23/11/05,FALSE,238,FALSE
1,005,AL,005M07,30-Mar-05,12/3/06,FALSE,347,FALSE
1,005,AL,005M03,30-Mar-05,18/3/06,FALSE,353,FALSE
1,005,AL,005m13,30-Mar-05,29/3/06,FALSE,364,FALSE
1,005,AL,005M01,30-Mar-05,1/5/06,FALSE,397,FALSE
1,005,AL,005M11,30-Mar-05,6/1/07,FALSE,647,FALSE
1,005,AL,005M19,30-Mar-05,28/5/07,FALSE,789,FALSE
